start_i,end_i,n_frames,start_src,end_src,start_sec,end_sec,arm1,arm2,arm3,arm4
0,3419,3420,0,3419,0.0,114.0,,,,
3420,3533,114,3420,3533,114.0,117.8,,,,tip-up fenestrated grasper
3534,5250,1717,3534,5250,117.8,175.0,,,,
5251,5369,119,5251,5369,175.0,179.0,,,,tip-up fenestrated grasper
5370,10319,4950,5370,10319,179.0,344.0,,,,
10320,10349,30,10320,10349,344.0,345.0,,,camera,
10350,21539,11190,10350,21539,345.0,718.0,,,,
21540,21569,30,21540,21569,718.0,719.0,,,,tip-up fenestrated grasper
21570,23729,2160,21570,23729,719.0,791.0,,,,
23730,23789,60,23730,23789,791.0,793.0,,,,vessel sealer extend
23790,27170,3381,23790,27170,793.0,905.7,,,,
