start_i,end_i,n_frames,start_src,end_src,start_sec,end_sec,arm1,arm2,arm3,arm4
0,34,35,0,34,0.0,1.1,small grasping retractor,fenestrated bipolar forceps,tip-up fenestrated grasper,vessel sealer extend
35,4065,4031,35,4065,1.2,135.5,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
4066,4109,44,4066,4109,135.5,137.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
4110,12929,8820,4110,12929,137.0,431.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
12930,13079,150,12930,13079,431.0,436.0,small grasping retractor,fenestrated bipolar forceps,tip-up fenestrated grasper,vessel sealer extend
13080,13469,390,13080,13469,436.0,449.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
13470,13529,60,13470,13529,449.0,451.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
13530,14699,1170,13530,14699,451.0,490.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
14700,14909,210,14700,14909,490.0,497.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
14910,15119,210,14910,15119,497.0,504.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
15120,15149,30,15120,15149,504.0,505.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
15150,15599,450,15150,15599,505.0,520.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
15600,15689,90,15600,15689,520.0,523.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
15690,16859,1170,15690,16859,523.0,562.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
16860,16919,60,16860,16919,562.0,564.0,small grasping retractor,fenestrated bipolar forceps,tip-up fenestrated grasper,vessel sealer extend
16920,17039,120,16920,17039,564.0,568.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
17040,17069,30,17040,17069,568.0,569.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
17070,17099,30,17070,17099,569.0,570.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
17100,17418,319,17100,17418,570.0,580.6,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
17419,17549,131,17419,17549,580.6,585.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
17550,17609,60,17550,17609,585.0,587.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
17610,17639,30,17610,17639,587.0,588.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
17640,17729,90,17640,17729,588.0,591.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
17730,17789,60,17730,17789,591.0,593.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
17790,21329,3540,17790,21329,593.0,711.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
21330,21359,30,21330,21359,711.0,712.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
21360,21389,30,21360,21389,712.0,713.0,small grasping retractor,fenestrated bipolar forceps,tip-up fenestrated grasper,vessel sealer extend
21390,21899,510,21390,21899,713.0,730.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
21900,21959,60,21900,21959,730.0,732.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
21960,22289,330,21960,22289,732.0,743.0,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
22290,22379,90,22290,22379,743.0,746.0,small grasping retractor,fenestrated bipolar forceps,vessel sealer extend,vessel sealer extend
22380,25836,3457,22380,25836,746.0,861.2,small grasping retractor,fenestrated bipolar forceps,,vessel sealer extend
